Bundesland,Einwohnerzahlen,BIP
Baden-Württemberg,10951893,476.27
Bayern,12930751,569.81
Berlin,3574830,130.54
Brandenburg,2494648,66.94
Bremen,678753,32.06
Hamburg,1810438,112.96
Hessen,6213088,269.44
Mecklenburg-Vorpommern,1610674,41.02
Niedersachsen,7945685,276.27
Nordrhein-Westfalen,17890100,668.91
Rheinland-Pfalz,4066053,138.5
Saarland,996651,34.33
Sachsen,4081783,118.2
Sachsen-Anhalt,2236252,59.08
Schleswig-Holstein,2881926,89.82
Thüringen,2158128,59.9
